,enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow,net_interest_margin_(bank_only)_%
0,1,1994,14.061,8.32,5.919,14.061,5.919,23.21,17.93,-10.58,33.22,8.11,14.6,5.6,25.498,4.299,3.374,7.705,6.279,0.251,0.449,0.113,0.551,44.738,0.9,1.755,0.211,58.85,43.31,69.17,84.71,6.2,5.28,0.75,0.141,0.017,0.405,0.217,
1,1,1995,16.048,10.29,7.352,16.048,7.352,26.98,19.88,7.92,20.4,12.22,16.26,7.05,25.836,5.975,3.833,7.675,-3.607,0.263,0.466,0.123,0.534,49.558,1.03,1.918,0.125,57.94,45.54,63.69,76.09,6.3,5.73,0.74,0.129,0.014,0.241,0.0,
2,1,1996,-32.91,-24.38,-14.075,-32.91,-14.075,-52.89,-33.99,-421.74,75.77,-24.89,11.07,6.32,9.844,-12.245,-8.299,-11.38,3.468,0.552,0.384,0.212,0.616,16.697,1.07,1.696,,63.6,40.27,50.17,73.5,5.74,7.28,0.9,0.124,0.007,0.0,0.164,
3,1,1997,-64.15,-24.67,-21.778,-64.15,-21.778,-88.18,-33.73,91.86,2.51,-41.21,3.01,6.73,19.319,-10.987,-14.758,-12.089,-3.997,0.813,0.283,0.231,0.717,28.509,-1.2,1.476,,65.23,47.15,35.11,53.19,5.6,10.4,0.81,0.078,0.062,0.0,2.838,
4,1,1998,21.745,6.34,7.252,21.745,7.252,77.73,15.08,7.25,-228.38,19.17,7.01,6.42,24.895,4.393,5.201,8.45,12.271,0.581,0.383,0.222,0.617,34.71,0.9,1.394,0.0,61.13,57.42,21.06,24.77,5.97,17.33,0.75,0.043,0.008,0.176,0.059,
5,1,1999,25.327,7.7,12.72,25.327,12.72,217.12,22.66,-3.64,34.65,28.68,8.82,7.5,27.649,6.293,9.798,13.173,12.243,0.097,0.601,0.058,0.399,35.894,0.81,1.298,0.0,48.67,62.96,4.03,-10.26,7.5,90.57,0.72,0.008,0.012,0.184,0.086,
6,1,2000,21.8,10.14,13.139,21.8,13.139,302.04,26.24,-218.18,18.51,27.61,17.2,7.0,27.133,7.767,9.846,14.994,9.094,0.073,0.604,0.044,0.396,36.209,0.41,1.335,0.0,37.36,61.77,1.66,-22.75,9.77,219.51,0.73,0.003,0.018,0.229,0.164,
7,1,2001,-0.623,-0.44,-0.39,-0.629,-0.392,-7.32,-0.77,553.85,133.4,-14.96,15.51,5.19,23.028,-6.414,-0.466,1.193,-0.876,0.081,0.651,0.053,0.349,19.261,0.99,0.836,,48.29,86.56,1.95,-36.32,7.56,187.64,0.77,0.004,0.043,0.0,1.254,
8,1,2002,1.622,1.28,1.055,1.662,1.072,16.54,2.14,-15.38,373.16,2.48,15.57,3.48,27.917,0.819,1.132,3.692,-1.48,0.077,0.65,0.05,0.35,26.025,1.07,0.932,0.0,32.77,75.49,2.47,-40.25,11.14,147.82,0.72,0.005,0.03,3.702,1.955,
9,1,2003,1.659,0.92,1.052,1.706,1.071,3.88,0.55,-37.66,-3.41,1.09,12.01,2.58,27.517,0.403,1.112,2.223,2.014,0.072,0.62,0.045,0.38,26.05,0.0,0.947,0.0,39.13,83.77,4.1,-40.54,9.33,89.09,0.72,0.008,0.026,6.56,0.567,
